Time,Type,Target,Status,Details
2025-05-02 23:40:45,PORT,10.17.246.195,open,"{""port"":139}"
2025-05-02 23:40:45,PORT,10.17.246.195,open,"{""port"":445}"
2025-05-02 23:40:45,PORT,10.17.246.195,open,"{""port"":135}"
2025-05-02 23:40:45,SERVICE,10.17.246.195,identified,"{""domain_name"":""WORKGROUP"",""mac"":""9c:2f:9d:b3:f7:c1"",""port"":139,""server_service"":""JINGREJIN"",""workstation_service"":""JINGREJIN""}"
2025-05-02 23:40:47,PORT,10.17.88.115,open,"{""port"":139}"
2025-05-02 23:40:47,PORT,10.17.88.115,open,"{""port"":445}"
2025-05-02 23:40:47,PORT,10.17.88.115,open,"{""port"":135}"
2025-05-02 23:40:47,PORT,10.17.209.234,open,"{""port"":139}"
2025-05-02 23:40:47,PORT,10.17.209.234,open,"{""port"":445}"
2025-05-02 23:40:47,PORT,10.17.209.234,open,"{""port"":135}"
2025-05-02 23:40:47,PORT,10.17.132.235,open,"{""port"":139}"
2025-05-02 23:40:47,PORT,10.17.132.235,open,"{""port"":445}"
2025-05-02 23:40:47,PORT,10.17.132.235,open,"{""port"":135}"
2025-05-02 23:40:50,PORT,10.17.99.98,open,"{""port"":445}"
2025-05-02 23:40:50,PORT,10.17.99.98,open,"{""port"":139}"
2025-05-02 23:40:50,PORT,10.17.99.98,open,"{""port"":135}"
2025-05-02 23:40:53,PORT,10.17.89.124,open,"{""port"":139}"
2025-05-02 23:40:54,PORT,10.17.89.124,open,"{""port"":135}"
2025-05-02 23:40:54,PORT,10.17.89.124,open,"{""port"":445}"
2025-05-02 23:40:55,PORT,10.17.213.123,open,"{""port"":139}"
2025-05-02 23:40:55,PORT,10.17.213.123,open,"{""port"":445}"
2025-05-02 23:40:55,PORT,10.17.213.123,open,"{""port"":135}"
2025-05-02 23:40:57,SERVICE,10.17.132.235,identified,"{""domain_name"":""WORKGROUP"",""mac"":""c0:35:32:19:75:6d"",""port"":139,""server_service"":""LAPTOP-E17N9Q3I"",""workstation_service"":""LAPTOP-E17N9Q3I""}"
2025-05-02 23:40:57,SERVICE,10.17.99.98,identified,"{""domain_name"":""WORKGROUP"",""mac"":""8e:37:1c:6d:4c:15"",""port"":139,""server_service"":""LAPTOP-KEL3JT14"",""workstation_service"":""LAPTOP-KEL3JT14""}"
2025-05-02 23:40:57,SERVICE,10.17.89.124,identified,"{""domain_name"":""WORKGROUP"",""mac"":""00:e1:8c:c0:dd:2a"",""port"":139,""server_service"":""LAPTOP-2OUR8MQG"",""workstation_service"":""LAPTOP-2OUR8MQG""}"
2025-05-02 23:40:57,SERVICE,10.17.213.123,identified,"{""computer_name"":""LAPTOP-LPMARDEF"",""domain_name"":""LAPTOP-LPMARDEF"",""mac"":""c0:35:32:2f:7d:d3"",""netbios_computer"":""LAPTOP-LPMARDEF"",""netbios_domain"":""LAPTOP-LPMARDEF"",""os_version"":""Windows 10 Home China 26100"",""port"":139,""server_service"":""LAPTOP-LPMARDEF"",""workstation_service"":""LAPTOP-LPMARDEF""}"
2025-05-02 23:40:59,PORT,10.17.213.142,open,"{""port"":139}"
2025-05-02 23:40:59,PORT,10.17.213.142,open,"{""port"":445}"
2025-05-02 23:40:59,PORT,10.17.213.142,open,"{""port"":135}"
2025-05-02 23:41:00,SERVICE,10.17.213.142,identified,"{""domain_name"":""WORKGROUP"",""mac"":""f4:26:79:7c:d8:2d"",""port"":139,""server_service"":""LAPTOP-NOF3H6VO"",""workstation_service"":""LAPTOP-NOF3H6VO""}"
2025-05-02 23:41:03,PORT,10.17.246.8,open,"{""port"":139}"
2025-05-02 23:41:03,PORT,10.17.246.8,open,"{""port"":445}"
2025-05-02 23:41:03,PORT,10.17.246.8,open,"{""port"":135}"
2025-05-02 23:41:03,SERVICE,10.17.246.8,identified,"{""domain_name"":""WORKGROUP"",""mac"":""30:f6:ef:48:06:c0"",""port"":139,""server_service"":""ANMA"",""workstation_service"":""ANMA""}"
2025-05-02 23:41:06,PORT,10.17.204.31,open,"{""port"":445}"
2025-05-02 23:41:09,PORT,10.17.119.78,open,"{""port"":139}"
2025-05-02 23:41:09,PORT,10.17.119.78,open,"{""port"":445}"
2025-05-02 23:41:09,PORT,10.17.119.78,open,"{""port"":135}"
2025-05-02 23:41:09,SERVICE,10.17.119.78,identified,"{""domain_name"":""WORKGROUP"",""mac"":""8c:b8:7e:72:e3:d1"",""port"":139,""server_service"":""FUFU"",""workstation_service"":""FUFU""}"
2025-05-02 23:41:10,PORT,10.17.235.200,open,"{""port"":445}"
2025-05-02 23:41:10,PORT,10.17.235.200,open,"{""port"":139}"
2025-05-02 23:41:10,PORT,10.17.235.200,open,"{""port"":135}"
2025-05-02 23:41:11,SERVICE,10.17.235.200,identified,"{""domain_name"":""WORKGROUP"",""mac"":""ac:19:8e:19:91:b4"",""port"":139,""server_service"":""CSY"",""workstation_service"":""CSY""}"
2025-05-02 23:41:11,PORT,10.17.216.250,open,"{""port"":139}"
2025-05-02 23:41:11,PORT,10.17.216.250,open,"{""port"":445}"
2025-05-02 23:41:11,PORT,10.17.216.250,open,"{""port"":135}"
2025-05-02 23:41:12,PORT,10.17.243.226,open,"{""port"":139}"
2025-05-02 23:41:13,PORT,10.17.243.226,open,"{""port"":445}"
2025-05-02 23:41:13,PORT,10.17.243.226,open,"{""port"":135}"
2025-05-02 23:41:13,SERVICE,10.17.243.226,identified,"{""domain_name"":""WORKGROUP"",""mac"":""e4:60:17:2d:d9:f3"",""port"":139,""server_service"":""LAPTOP-JQT05NEF"",""workstation_service"":""LAPTOP-JQT05NEF""}"
2025-05-02 23:41:18,PORT,10.17.186.74,open,"{""port"":445}"
