Time,Type,Target,Status,Details
2025-05-02 15:50:02,PORT,10.17.140.168,open,"{""port"":135}"
2025-05-02 15:50:02,PORT,10.17.140.137,open,"{""port"":135}"
2025-05-02 15:50:04,PORT,10.17.140.215,open,"{""port"":135}"
2025-05-02 15:50:04,PORT,10.17.140.168,open,"{""port"":139}"
2025-05-02 15:50:04,PORT,10.17.140.137,open,"{""port"":139}"
2025-05-02 15:50:04,PORT,10.17.140.215,open,"{""port"":139}"
2025-05-02 15:50:04,PORT,10.17.140.168,open,"{""port"":445}"
2025-05-02 15:50:04,PORT,10.17.140.215,open,"{""port"":445}"
2025-05-02 15:50:04,PORT,10.17.140.137,open,"{""port"":445}"
2025-05-02 15:50:06,PORT,10.17.140.215,open,"{""port"":3306}"
2025-05-02 15:50:06,SERVICE,10.17.140.215,identified,"{""banner"":""F.j Host '10.17.209.234' is not allowed to connect to this MySQL server"",""info"":""unauthorized"",""port"":3306,""product"":""MySQL"",""service"":""mysql""}"
2025-05-02 15:50:09,SERVICE,10.17.140.168,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-02 15:50:09,SERVICE,10.17.140.137,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-02 15:50:09,SERVICE,10.17.140.215,identified,"{""banner"":""."",""port"":139,""service"":""unknown""}"
2025-05-02 15:50:09,SERVICE,10.17.140.168,identified,"{""port"":445,""service"":""unknown""}"
2025-05-02 15:50:09,SERVICE,10.17.140.215,identified,"{""port"":445,""service"":""unknown""}"
2025-05-02 15:50:09,SERVICE,10.17.140.137,identified,"{""port"":445,""service"":""unknown""}"
2025-05-02 15:51:03,SERVICE,10.17.140.137,identified,"{""port"":135,""service"":""unknown""}"
2025-05-02 15:51:07,SERVICE,10.17.140.168,identified,"{""port"":135,""service"":""unknown""}"
2025-05-02 15:51:09,SERVICE,10.17.140.215,identified,"{""port"":135,""service"":""unknown""}"
